Location ID FROM ORGS,latitude,longitude,FROM LOCATION
112,47.64301154,-117.5816126,3
2,47.65137243,-117.4109823,14
3,47.655495,-117.412229,15
4,47.68279492,-117.4107686,8
5,47.65138468,-117.4118543,17
6,47.65565819,-117.4125497,42
7,40.7351053,-73.9881133,50
8,47.65900045,-117.4116063,55
10,47.6716522,-117.4123993,69
11,47.650003,-117.409391,87
17,47.6483761,-117.4117102,64
118,45.6281543,-122.672386,9
13,47.66841473,-117.423495,2
14,35.1289237,-89.9457417,35
19,47.5782163,-117.6826671,108
20,47.65535991,-117.40881874,116
4,47.67398127,-117.40902,68
22,47.65559915,-117.3958784,62
23,42.3453356,-71.0700294,32
8,47.6551276,-117.4281654,95
24,47.659735,-117.415877,84
25,47.653628,-117.4079884,11
26,47.65338665,-117.4463075,4
27,47.67464855,-117.4076447,67
7,47.57159635,-117.6794265,12
28,47.95631007,-117.4823099,39
29,47.57399625,-117.6828001,118
31,47.65461689,-117.4152697,117
32,47.674916,-117.4075842,66
33,47.65736531,-117.4064478,88
34,47.65341932,-117.4463069,75
35,47.66816977,-117.4162285,26
36,47.652781,-117.432566,34
38,47.65437735,-117.4055966,90
39,47.66800563,-117.4162744,97
40,47.6225908,-122.3340855,73
41,47.5987509,-122.331954,54
42,38.85815117,-77.38321609,6
,47.66328706,-117.34677,94
25,47.651082,-117.37679,49
44,47.66165279,-117.2708979,86
61,47.6512271,-117.4165499,122
45,47.65356351,-117.4198933,72
46,48.53984206,-117.9055804,70
48,47.656493,-117.421246,102
47,47.4897173,-117.5757016,21
48,47.48941637,-117.575877,20
49,47.658991,-117.413473,45
50,47.6605613,-117.4241938,96
51,40.72323785,-74.33680548,52
52,47.66191698,-117.3961834,38
3,47.6783847,-117.4263174,25
10,47.6661721,-117.4258924,19
53,47.68355264,-117.3956614,41
54,47.67485,-117.4271455,5
55,47.6630926,-117.4283084,85
56,47.66445657,-117.4285122,79
57,36.80860711,-119.6942375,24
58,47.66832267,-117.4209667,77
59,47.6547549,-117.4304339,48
60,47.66179896,-117.3924198,100
61,47.70919125,-117.430038,13
110,47.66005092,-117.39126767,112
62,47.6690582,-117.4356511,27
63,47.67046344,-117.417193,105
64,47.67010897,-117.282921,92
66,47.67137429,-117.4265539,61
70,47.68360188,-117.4341129,29
71,47.663538,-117.4340759,58
,47.67852867,-117.3877788,101
72,47.66199324,-117.3840989,40
73,47.67459474,-117.41747,33
49,47.67460604,-117.363887,78
74,47.65732651,-117.3838114,81
75,47.67551941,-117.4534161,23
76,47.6714753,-117.3808596,30
77,47.6571973,-117.3762823,31
78,47.693429,-117.4406328,36
79,47.693437,-117.4420412,37
80,47.70246071,-117.3779455,107
81,47.67629711,-117.2394775,80
"116, 117, 49, 115, 83, 59",47.66514896,-117.4448041,56
,47.65697325,-117.3773214,57
84,44.98111374,-93.20526229,60
85,47.71549963,-117.4519613,103
99,47.630118,-117.3682237,74
86,47.6564254,-117.4245325,10
87,47.67918334,-117.45937836,115
88,47.651646,-117.365499,93
90,47.68638758,-117.444482,98
93,47.68670434,-117.3652614,51
94,47.62051665,-117.49881403,110
95,48.11557784,-117.6018431,65
96,47.6938891,-117.4527683,7
93,47.70847974,-117.4694652,63
97,47.6946574,-117.3747383,83
2,47.639664,-117.4722125,18
98,47.69907902,-117.3787782,53
114,36.87542715,-76.13614981,47
99,46.28138238,-119.10192338,114
100,36.029726,-86.788593,22
57,47.7328962,-117.4115562,71
102,47.74269396,-117.4116444,99
103,30.3995606,-97.7494621,44
104,47.664257,-117.2591681,59
6,47.75688336,-117.3947146,91
105,47.65776999,-117.24772989,1
106,47.77072024,-117.3540966,46
"1, 122",47.67171311,-117.235067,76
19,47.643048,-117.558055,106
19,47.77665012,-117.3842142,89
,47.64990057,-117.5975701,109
,47.13216426,-122.4207404,104
,47.70038083,-117.210628,28
